experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,stroopStim.stopped,stroopResp.stopped,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.step,stroopResp.keys,stroopResp.corr,blank.started,fbCound.started,blankPeriod.started,fbCound.stopped,blank.stopped,myExp.RT_allTrials,myExp.RT_correctTrials,stroopResp.rt,stroopResp.duration,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
25,0,25,0,47.731657299998915,,,,,,,,,,,,,,,,,47.72208279999904,26,red,red,1.0,m,47.731657299998915,47.731657299998915,,,48.19387029999962,m,1.0980918999994174,1.0,0.0,m,1,48.19744119999996,0.0004322000004322035,0.0004322000004322035,0.6331800000007206,48.84216489999926,0.45418729999983043,0.45418729999983043,0.45418729999983043,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
26,0,26,0,48.8592807999994,,,,,,,,,,,,,,,,,48.84419789999993,27,green,green,1.0,c,48.8592807999994,48.8592807999994,,,49.39371769999889,c,1.0980918999994174,1.0,0.0,c,1,49.39847209999971,0.0006316999988484895,0.0006316999988484895,0.5676338999983273,49.9709888999987,0.5207468999997218,0.5207468999997218,0.5207468999997218,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
27,0,27,0,49.98762589999933,,,,,,,,,,,,,,,,,49.9728027000001,28,yellow,yellow,1.0,s,49.98762589999933,49.98762589999933,,,50.42643270000008,s,1.0980918999994174,1.0,0.0,s,1,50.43153650000022,0.0005278999997244682,0.0005278999997244682,0.664716799999951,51.10166879999997,0.4233500999998796,0.4233500999998796,0.4233500999998796,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
28,0,28,0,51.11689979999937,,,,,,,,,,,,,,,,,51.103444899999886,29,green,green,1.0,c,51.11689979999937,51.11689979999937,,,51.72743830000036,c,1.0980918999994174,1.0,0.0,c,1,51.73200089999955,0.000559800000701216,0.000559800000701216,0.48737790000086534,52.225913799999034,0.6013120999996318,0.6013120999996318,0.6013120999996318,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
29,0,29,0,52.23923449999893,,,,,,,,,,,,,,,,,52.22778939999989,30,red,red,1.0,m,52.23923449999893,52.23923449999893,,,52.69371729999875,m,1.0980918999994174,1.0,0.0,m,1,52.69769909999923,0.0004291000004741363,0.0004291000004741363,0.6426965999999084,53.34628089999933,0.4451822999999422,0.4451822999999422,0.4451822999999422,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
30,0,30,0,53.35945829999946,,,,,,,,,,,,,,,,,53.34801569999945,31,blue,blue,1.0,l,53.35945829999946,53.35945829999946,,,53.74485959999947,l,1.0980918999994174,1.0,0.0,l,1,53.75009510000018,0.0007557999997516163,0.0007557999997516163,0.7068701999996847,54.45842090000042,0.3816869999991468,0.3816869999991468,0.3816869999991468,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
31,0,31,0,54.47175739999875,,,,,,,,,,,,,,,,,54.46095079999941,32,red,red,1.0,m,54.47175739999875,54.47175739999875,,,54.9430543999988,m,1.0980918999994174,1.0,0.0,m,1,54.946415599999455,0.00042500000017753337,0.00042500000017753337,0.6186756000006426,55.57528300000013,0.4691392000004271,0.4691392000004271,0.4691392000004271,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
32,0,32,0,55.591212899998936,,,,,,,,,,,,,,,,,55.577227499999935,33,blue,blue,1.0,l,55.591212899998936,55.591212899998936,,,56.092995599999995,l,1.0980918999994174,1.0,0.0,l,1,56.09691639999983,0.0005017999992560362,0.0005017999992560362,0.5974547999994684,56.70888659999946,0.48826480000025185,0.48826480000025185,0.48826480000025185,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
33,0,33,0,56.72466270000041,,,,,,,,,,,,,,,,,56.71029189999899,34,green,green,1.0,c,56.72466270000041,56.72466270000041,,,57.15900639999927,c,1.0980918999994174,1.0,0.0,c,1,57.161690900000394,0.00031960000160324853,0.00031960000160324853,0.6568176000000676,57.82504080000035,0.4313889000004565,0.4313889000004565,0.4313889000004565,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
34,0,34,0,57.843003599999065,,,,,,,,,,,,,,,,,57.8272407000004,35,red,red,1.0,m,57.843003599999065,57.843003599999065,,,58.39380969999911,m,1.0980918999994174,1.0,0.0,m,1,58.3984118999997,0.00046459999975922983,0.00046459999975922983,0.5496282999993127,58.95317849999992,0.5383438999997452,0.5383438999997452,0.5383438999997452,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
