experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,myExp.RT_correctTrials,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,0,40.81483230000049,,,,,,,,,,,,,,,,,40.8003561000005,20,blue,blue,1.0,l,40.81483230000049,40.81483230000049,41.21937009999965,l,1.0980918999994174,1.0,0.3946919000009075,0.0,l,1,0.3946919000009075,None,41.2261610000005,0.001103799999327748,0.001103799999327748,0.6936778999988746,41.92598249999901,0.3946919000009075,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
20,0,20,0,41.94774890000008,,,,,,,,,,,,,,,,,41.92788459999974,21,red,red,1.0,m,41.94774890000008,41.94774890000008,42.418749799999205,m,1.0980918999994174,1.0,0.45838519999961136,0.0,m,1,0.45838519999961136,None,42.42432499999995,0.0009457000014663208,0.0009457000014663208,0.629908400000204,43.06047360000048,0.45838519999961136,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
21,0,21,0,43.077862000000096,,,,,,,,,,,,,,,,,43.06243209999957,22,green,blue,0.0,l,43.077862000000096,43.077862000000096,43.50250020000021,l,1.0980918999994174,1.0,0.4148030000014842,0.0,l,1,0.4148030000014842,None,43.508420000000115,0.0006542000010085758,0.0006542000010085758,0.6723174000017025,44.18633989999944,0.4148030000014842,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
22,0,22,0,44.20128040000054,,,,,,,,,,,,,,,,,44.18774800000028,23,yellow,green,0.0,c,44.20128040000054,44.20128040000054,44.852485699999306,c,1.0980918999994174,1.0,0.6365535000004456,0.0,c,1,0.6365535000004456,None,44.858827799998835,0.0008782999993854901,0.0008782999993854901,0.45164139999906183,45.31615939999938,0.6365535000004456,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
23,0,23,0,45.33542200000011,,,,,,,,,,,,,,,,,45.317965500000355,24,red,red,1.0,m,45.33542200000011,45.33542200000011,45.852123599999686,m,1.0980918999994174,1.0,0.5054750999988755,0.0,m,1,0.5054750999988755,None,45.858676099998775,0.000845300000946736,0.000845300000946736,0.5802177000005031,46.442274400000315,0.5054750999988755,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
24,0,24,0,46.454259699999966,,,,,,,,,,,,,,,,,46.44349759999932,25,yellow,yellow,1.0,s,46.454259699999966,46.454259699999966,46.88457620000008,s,1.0980918999994174,1.0,0.4154353000012634,0.0,s,1,0.4154353000012634,None,46.88972839999951,0.000738900000214926,0.000738900000214926,0.67205660000036,47.56619539999883,0.4154353000012634,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
25,0,25,0,47.57632249999915,,,,,,,,,,,,,,,,,47.56750499999907,26,blue,red,0.0,m,47.57632249999915,47.57632249999915,48.134634000000005,m,1.0980918999994174,1.0,0.5496973999997863,0.0,m,1,0.5496973999997863,None,48.141612299999906,0.0008937000002333662,0.0008937000002333662,0.5383471000004647,48.68561299999965,0.5496973999997863,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
26,0,26,0,48.7018922999996,,,,,,,,,,,,,,,,,48.68732309999905,27,red,green,0.0,c,48.7018922999996,48.7018922999996,49.101493799998934,c,1.0980918999994174,1.0,0.38439959999959683,0.0,c,1,0.38439959999959683,None,49.10674309999922,0.0007177999996201834,0.0007177999996201834,0.7018630999991728,49.81284980000055,0.38439959999959683,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
27,0,27,0,49.829468500000075,,,,,,,,,,,,,,,,,49.81470590000026,28,green,green,1.0,c,49.829468500000075,49.829468500000075,50.319241999999576,c,1.0980918999994174,1.0,0.4851777999992919,0.0,c,1,0.4851777999992919,None,50.32627049999974,0.0009074999998119893,0.0009074999998119893,0.6020894999983284,50.93246670000008,0.4851777999992919,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
28,0,28,0,50.94438049999917,,,,,,,,,,,,,,,,,50.933321099999375,29,yellow,blue,0.0,l,50.94438049999917,50.94438049999917,51.38385659999949,l,1.0980918999994174,1.0,0.42278840000108175,0.0,l,1,0.42278840000108175,None,51.38806089999889,0.0005258999990473967,0.0005258999990473967,0.6633901999994123,52.06645649999882,0.42278840000108175,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
29,0,29,0,52.08238630000051,,,,,,,,,,,,,,,,,52.06778959999974,30,blue,yellow,0.0,s,52.08238630000051,52.08238630000051,52.484056399998735,c,1.0980918999994174,0.0,0.39464659999975993,0.0,c,0,0.39464659999975993,None,52.48676010000054,0.00031850000050326344,0.00031850000050326344,0.6916951000002882,53.1859843000002,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
30,0,30,0,53.198681099998794,,,,,,,,,,,,,,,,,53.18678369999907,31,red,red,1.0,m,53.198681099998794,53.198681099998794,53.60246740000002,m,1.0980918999994174,1.0,0.38919820000046457,0.0,m,1,0.38919820000046457,None,53.60862409999936,0.0007640999992872821,0.0007640999992872821,0.7006165000002511,54.310445699999036,0.38919820000046457,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
